..
Name                                                                                                                              OS       Location                                                                                                                                      
03f55de797f546a1b29d1b8d66be687a__CoreCLR-x64-Beta5-Linux-PartsUnlimited-Demo-App-201504.29                                       Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
03f55de797f546a1b29d1b8d66be687a__Team-Foundation-Server-2013-Update4-WS2012R2                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
03f55de797f546a1b29d1b8d66be687a__Team-Foundation-Server-2013-Update4-WS2012R2-201503.20                                          Windows  Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
03f55de797f546a1b29d1b8d66be687a__Team-Foundation-Server-2013-Update4-WS2012R2-201503.27                                          Windows  Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
03f55de797f546a1b29d1b8d66be687a__VS-2013-Community-VSU5-AzureSDK-2.7-WS2012R2                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
03f55de797f546a1b29d1b8d66be687a__VS-2013-Community-VSU5-Cordova-CTP3.2-AzureSDK-2.7-WS2012R2                                     Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
03f55de797f546a1b29d1b8d66be687a__VS-2015-Community-AzureSDK-2.7-WS2012R2                                                         Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
03f55de797f546a1b29d1b8d66be687a__VS-2015-Enterprise-AzureSDK-2.7-WS2012R2                                                        Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
03f55de797f546a1b29d1b8d66be687a__Visual-Studio-2013-Community-12.0.31101.0-ApacheCordova-CTP3.1-AzureSDK-2.6-WS2012R2-201505.27  Windows  Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
03f55de797f546a1b29d1b8d66be687a__Visual-Studio-2013-Community-VSU4-AzureSDK-2.51-NTVS-1.0-WS2012R2                               Windows  Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.2-x64-v5.8.8.1                                                              Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8                                                                Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.5                                                              Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.6                                                              Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.7                                                              Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.8                                                              Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.9                                                              Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.4                                                                 Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.5.0.1                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.5.0.2                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v13.5.2                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v13.5.3                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v14.1                                                                 Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v14.1.3                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v14.1.5.1                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.6-x64-v13.5.5                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.6-x64-v14.2                                                                 Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.6-x64-v14.2.1                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-7.0-x64-v14.1.5.1                                                             Linux    Southeast Asia, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US                
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-7.0-x64-v14.2                                                                 Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-7.0-x64-v14.2.1                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.4                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.0.1                                                           Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.2                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.3                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.5                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.1.1                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.1.3                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.1.5.1                                                           Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.2                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.2.1                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8                                                              Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.5                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.7                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.8                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1.3                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1.5.1                                                           Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.2                                                               Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.2.1                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__JDK-1.6.0_101-20150810-Win-GA                                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__JDK-1.6.0_101-20151018-Win-GA                                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_85-20150810-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_85-20151018-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_51-20150810-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_60-20151018-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-11.2.0.4.0-EE-20150810-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-11.2.0.4.0-EE-20151018-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-11.2.0.4.0-EE-WebLogic-10.3.6-EE-JDK-1.7.0_85-20150810-Win-GA                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-11.2.0.4.0-EE-WebLogic-10.3.6-EE-JDK-1.7.0_85-20151018-Win-GA                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-11.2.0.4.0-SE-20150810-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-11.2.0.4.0-SE-20151018-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-11.2.0.4.0-SE-WebLogic-10.3.6-SE-JDK-1.7.0_85-20150810-Win-GA                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
